"composer","composerLabel"
"http://data.carnegiehall.org/names/17980","Skitch Henderson"
"http://data.carnegiehall.org/names/75683","Kevin Olusola"
"http://data.carnegiehall.org/names/2595","Max Gegna"
"http://data.carnegiehall.org/names/27804","Edvard Lieber"
"http://data.carnegiehall.org/names/125055","Takehisa Kosugi"
"http://data.carnegiehall.org/names/69736","Jason Treuting"
"http://data.carnegiehall.org/names/65769","Don Sebesky"
"http://data.carnegiehall.org/names/86199","Joe Jencks"
"http://data.carnegiehall.org/names/82723","Beyoncé"
"http://data.carnegiehall.org/names/86291","Natalie Tenenbaum"
"http://data.carnegiehall.org/names/58598","Peter Yarrow"
"http://data.carnegiehall.org/names/75236","Heniot Levy"
"http://data.carnegiehall.org/names/127705","John Gruen"
"http://data.carnegiehall.org/names/28898","Rey Scott"
"http://data.carnegiehall.org/names/128566","Arturo Díaz Rivero"
"http://data.carnegiehall.org/names/70006","Anatoly Trofimov"
"http://data.carnegiehall.org/names/25372","Wiktor Labunski"
"http://data.carnegiehall.org/names/38486","Danny Dong"
"http://data.carnegiehall.org/names/701","Oscar Castro-Neves"
"http://data.carnegiehall.org/names/84062","Brendan Ko"
"http://data.carnegiehall.org/names/41125","Gigi Gryce"
"http://data.carnegiehall.org/names/39600","Darius Milhaud"
"http://data.carnegiehall.org/names/7872","Stanley Silverman"
"http://data.carnegiehall.org/names/48117","Henri Casadesus"
"http://data.carnegiehall.org/names/115709","Seiji Mukaiyama"
"http://data.carnegiehall.org/names/116039","Carrie Manolakos"
"http://data.carnegiehall.org/names/118695","Drew Pearson"
"http://data.carnegiehall.org/names/74328","Jennifer Curtis"
"http://data.carnegiehall.org/names/22885","David Bimberg"
"http://data.carnegiehall.org/names/46149","Harry Lauder"
"http://data.carnegiehall.org/names/88661","George Hinchliffe"
"http://data.carnegiehall.org/names/7026","J. Adolph Johnson"
"http://data.carnegiehall.org/names/57115","Lloyd Pfautsch"
"http://data.carnegiehall.org/names/62774","Tobias Picker"
"http://data.carnegiehall.org/names/48789","Daniel Schlosberg"
"http://data.carnegiehall.org/names/132530","Michael Bard"
"http://data.carnegiehall.org/names/20172","Manuel García Matos"
"http://data.carnegiehall.org/names/71774","Massie Patterson"
"http://data.carnegiehall.org/names/74733","Mary Lee Taylor Kinosian"
"http://data.carnegiehall.org/names/54403","Ralph Hunter"
"http://data.carnegiehall.org/names/40629","Willie ""The Lion"" Smith"
"http://data.carnegiehall.org/names/69623","Robert Prince"
"http://data.carnegiehall.org/names/53141","Mischa Levitzki"
"http://data.carnegiehall.org/names/12419","Laura Seaton-Finn"
"http://data.carnegiehall.org/names/18210","Richard Nanes"
"http://data.carnegiehall.org/names/38567","John Duke"
"http://data.carnegiehall.org/names/86674","Brad Balliett"
"http://data.carnegiehall.org/names/52857","Paquito D'Rivera"
"http://data.carnegiehall.org/names/56541","Richard Maltby"
"http://data.carnegiehall.org/names/80108","Francesco Tristano Schlimé"
"http://data.carnegiehall.org/names/14578","Dr. John"
"http://data.carnegiehall.org/names/121652","Alexander Misko"
"http://data.carnegiehall.org/names/130247","Royal Canoe"
"http://data.carnegiehall.org/names/110219","Alsarah"
"http://data.carnegiehall.org/names/36699","Morton Feldman"
"http://data.carnegiehall.org/names/89741","Zhen Chen"
"http://data.carnegiehall.org/names/13564","Charles Aznavour"
"http://data.carnegiehall.org/names/52919","Valerie Coleman"
"http://data.carnegiehall.org/names/102910","Feifei Yang"
"http://data.carnegiehall.org/names/84556","Josh Quillen"
"http://data.carnegiehall.org/names/8240","Herb Jeffries"
"http://data.carnegiehall.org/names/130498","Nelly"
"http://data.carnegiehall.org/names/43673","George Benson"
"http://data.carnegiehall.org/names/26134","Stuart Dempster"
"http://data.carnegiehall.org/names/40277","Eddie Hokenson"
"http://data.carnegiehall.org/names/78703","Michael Barry"
"http://data.carnegiehall.org/names/38745","Herbie Mann"
"http://data.carnegiehall.org/names/42888","Stephen Prutsman"
"http://data.carnegiehall.org/names/11830","Stevie Wonder"
"http://data.carnegiehall.org/names/27766","Helen Hopekirk"
"http://data.carnegiehall.org/names/49220","Barry Manilow"
"http://data.carnegiehall.org/names/33841","Ben Yarmolinsky"
"http://data.carnegiehall.org/names/51402","Mark Andersen"
"http://data.carnegiehall.org/names/14290","Ihsan Al-Mounzer"
"http://data.carnegiehall.org/names/82012","Xiaohui Ma"
"http://data.carnegiehall.org/names/81052","Benjamin Kraef"
"http://data.carnegiehall.org/names/65717","Mike Stoller"
"http://data.carnegiehall.org/names/120375","John C. Pennington"
"http://data.carnegiehall.org/names/58490","Reiko Füting"
"http://data.carnegiehall.org/names/89816","Shawn Jaeger"
"http://data.carnegiehall.org/names/104244","Yiruma"
"http://data.carnegiehall.org/names/59824","Rufus Wainwright"
"http://data.carnegiehall.org/names/9553","Stanley Turrentine"
"http://data.carnegiehall.org/names/106759","Réjean Brunet"
"http://data.carnegiehall.org/names/75887","Brian d'Arcy James"
"http://data.carnegiehall.org/names/78327","Carl Schroeder"
"http://data.carnegiehall.org/names/712","Milton Babbitt"
"http://data.carnegiehall.org/names/44057","Marshall Izen"
"http://data.carnegiehall.org/names/52869","David Byrne"
"http://data.carnegiehall.org/names/58121","Buck Clayton"
"http://data.carnegiehall.org/names/99306","Ian Williams"
"http://data.carnegiehall.org/names/93095","Julian Wachner"
"http://data.carnegiehall.org/names/26612","Mike Christianson"
"http://data.carnegiehall.org/names/58297","Elton John"
"http://data.carnegiehall.org/names/28417","Tom Feher"
"http://data.carnegiehall.org/names/70531","Alex Kreger"
"http://data.carnegiehall.org/names/32087","Lorin Maazel"
"http://data.carnegiehall.org/names/61685","Thomas M. Sleeper"
"http://data.carnegiehall.org/names/70991","Iva Bittová"
"http://data.carnegiehall.org/names/77435","Joe Hertenstein"
"http://data.carnegiehall.org/names/124591","Graeme Edge"
"http://data.carnegiehall.org/names/77049","Vijay Iyer"
"http://data.carnegiehall.org/names/101145","William C. White"
"http://data.carnegiehall.org/names/105974","Byron Duckwall"
"http://data.carnegiehall.org/names/77974","Martin Zarzar"
"http://data.carnegiehall.org/names/106126","George Walker"
"http://data.carnegiehall.org/names/129558","Ricky Dillard"
"http://data.carnegiehall.org/names/120798","Murat Aydemir"
"http://data.carnegiehall.org/names/37816","Francis Poulenc"
"http://data.carnegiehall.org/names/2023","Eugene Goossens"
"http://data.carnegiehall.org/names/98640","Paul Aron"
"http://data.carnegiehall.org/names/132501","Samuel O. Pratt"
"http://data.carnegiehall.org/names/127702","Robert Dennis"
"http://data.carnegiehall.org/names/119918","Bernard Peiffer"
"http://data.carnegiehall.org/names/127207","Salim Washington"
"http://data.carnegiehall.org/names/13038","Louis Alter"
"http://data.carnegiehall.org/names/9802","Theodore Antoniou"
"http://data.carnegiehall.org/names/53039","Andrew Ciancimino"
"http://data.carnegiehall.org/names/108504","Pauchi Sasaki"
"http://data.carnegiehall.org/names/30078","Edgar Stillman Kelley"
"http://data.carnegiehall.org/names/49469","Edouard Cornelius"
"http://data.carnegiehall.org/names/19798","John Abercrombie"
"http://data.carnegiehall.org/names/114581","Fito Páez"
"http://data.carnegiehall.org/names/127082","Corinne Bailey Rae"
"http://data.carnegiehall.org/names/88237","Phil Spitalny"
"http://data.carnegiehall.org/names/128045","Geoffrey Hudson"
"http://data.carnegiehall.org/names/78394","Regino Sainz de la Maza"
"http://data.carnegiehall.org/names/24307","Gunnar Johansen"
"http://data.carnegiehall.org/names/68697","Mimi Fariña"
"http://data.carnegiehall.org/names/37227","Thelonious Monk"
"http://data.carnegiehall.org/names/106397","Lauren Daigle"
"http://data.carnegiehall.org/names/67402","Mark-Anthony Turnage"
"http://data.carnegiehall.org/names/25457","Emil Sauer"
"http://data.carnegiehall.org/names/120746","Jeff Holdsworth"
"http://data.carnegiehall.org/names/81830","Maurice Abrahams"
"http://data.carnegiehall.org/names/19589","Duci de Kerekjarto"
"http://data.carnegiehall.org/names/83446","Geoffrey Gurrumul Yunupingu"
"http://data.carnegiehall.org/names/55897","Sammy Cahn"
"http://data.carnegiehall.org/names/14086","Chubby Jackson"
"http://data.carnegiehall.org/names/4552","Steven Mackey"
"http://data.carnegiehall.org/names/52344","José Salazar"
"http://data.carnegiehall.org/names/26105","Christian McBride"
"http://data.carnegiehall.org/names/120377","Emmanuel Séjourné"
"http://data.carnegiehall.org/names/6153","Redentor Romero"
"http://data.carnegiehall.org/names/100077","Paul Corn"
"http://data.carnegiehall.org/names/53682","Frederick Heyne"
"http://data.carnegiehall.org/names/127201","Juliette Perez"
"http://data.carnegiehall.org/names/95218","Thomas Berkmann"
"http://data.carnegiehall.org/names/122357","Amythyst Kiah"
"http://data.carnegiehall.org/names/62750","Carl Christian Bettendorf"
"http://data.carnegiehall.org/names/6610","Jules Conus"
"http://data.carnegiehall.org/names/60057","Claudio Villa"
"http://data.carnegiehall.org/names/45502","Moshe Ganchoff"
"http://data.carnegiehall.org/names/38286","Simon A. Sargon"
"http://data.carnegiehall.org/names/20683","Roland Hayes"
"http://data.carnegiehall.org/names/107933","Bernhard Pruflinger"
"http://data.carnegiehall.org/names/119799","Charles Johnson"
"http://data.carnegiehall.org/names/49002","Chester Hazlett"
"http://data.carnegiehall.org/names/16252","Gary Schocker"
"http://data.carnegiehall.org/names/5217","Stanley Clarke"
"http://data.carnegiehall.org/names/125868","Brandi Carlile"
"http://data.carnegiehall.org/names/44016","Henry Brant"
"http://data.carnegiehall.org/names/33928","Kimio Eto"
"http://data.carnegiehall.org/names/86030","Shi-Zheng Chen"
"http://data.carnegiehall.org/names/130503","Ben Lovett"
"http://data.carnegiehall.org/names/19407","Seymour Barab"
"http://data.carnegiehall.org/names/118391","Ayn Inserto"
"http://data.carnegiehall.org/names/58306","Daniel Moe"
"http://data.carnegiehall.org/names/51919","Paul Zonn"
"http://data.carnegiehall.org/names/72477","Yumi Kurosawa"
"http://data.carnegiehall.org/names/83852","Pius Cheung"
"http://data.carnegiehall.org/names/14159","Peter Martin"
"http://data.carnegiehall.org/names/130326","Steve Barakatt"
"http://data.carnegiehall.org/names/31871","Phil Woods"
"http://data.carnegiehall.org/names/98083","Jeremy Huck"
"http://data.carnegiehall.org/names/8269","Gdal Saleski"
"http://data.carnegiehall.org/names/86229","Donal Fox"
"http://data.carnegiehall.org/names/86548","William H. Neidlinger"
"http://data.carnegiehall.org/names/54523","Ray Gordon"
"http://data.carnegiehall.org/names/10083","Tania Eshaghoff"
"http://data.carnegiehall.org/names/27489","Martin Amlin"
"http://data.carnegiehall.org/names/66121","Jorma Kaukonen"
"http://data.carnegiehall.org/names/97721","Giuseppe Devastato"
"http://data.carnegiehall.org/names/96053","Nathan Pacheco"
"http://data.carnegiehall.org/names/66863","Carl Palmer"
"http://data.carnegiehall.org/names/84547","Michael Hearst"
"http://data.carnegiehall.org/names/91153","Dina Pruzhansky"
"http://data.carnegiehall.org/names/117010","Lorenzo Porzio"
"http://data.carnegiehall.org/names/25128","Robert Kapilow"
"http://data.carnegiehall.org/names/52002","Sergei Rachmaninoff"
"http://data.carnegiehall.org/names/52737","Steve Coleman"
"http://data.carnegiehall.org/names/21162","Nikolay Medtner"
"http://data.carnegiehall.org/names/25089","Chinary Ung"
"http://data.carnegiehall.org/names/109759","David Broxton"
"http://data.carnegiehall.org/names/37041","Mario Castelnuovo-Tedesco"
"http://data.carnegiehall.org/names/92852","Chase Dobson"
"http://data.carnegiehall.org/names/132743","Christopher North"
"http://data.carnegiehall.org/names/69136","Béla Fleck"
"http://data.carnegiehall.org/names/33243","Toshiko Akiyoshi"
"http://data.carnegiehall.org/names/71701","Harry Connick Jr."
"http://data.carnegiehall.org/names/109713","Nikita Mndoyants"
"http://data.carnegiehall.org/names/29440","Nikos Gounaris"
"http://data.carnegiehall.org/names/121979","Russ Taff"
"http://data.carnegiehall.org/names/42394","Jim Hall"
"http://data.carnegiehall.org/names/18280","Kathleen McGuire"
"http://data.carnegiehall.org/names/67726","Eric W. Wilkinson"
"http://data.carnegiehall.org/names/56625","Carmelina Delfín"
"http://data.carnegiehall.org/names/42701","Henri Rabaud"
"http://data.carnegiehall.org/names/2266","Sergio Ricardo"
"http://data.carnegiehall.org/names/78139","Greg Kurstin"
"http://data.carnegiehall.org/names/58322","David Burge"
"http://data.carnegiehall.org/names/121951","Sigurd Hole"
"http://data.carnegiehall.org/names/126859","Manolo Da Rold"
"http://data.carnegiehall.org/names/127536","Tina Weymouth"
"http://data.carnegiehall.org/names/125058","Mieko Shiomi"
"http://data.carnegiehall.org/names/27524","Virginia-Gene Rittenhouse"
"http://data.carnegiehall.org/names/132534","Johan Farjot"
"http://data.carnegiehall.org/names/49603","Harvey Schmidt"
"http://data.carnegiehall.org/names/55371","Cedar Walton"
"http://data.carnegiehall.org/names/14198","Homer Lambrecht"
