"work","title"
"http://data.carnegiehall.org/works/36691","Quanto Peni Anima Mia"
"http://data.carnegiehall.org/works/53477","I canti della sera: Tristezza crepuscolare"
"http://data.carnegiehall.org/works/68321","Sonata Mystikos"
"http://data.carnegiehall.org/works/66524","Arise! for the World Rejoices"
"http://data.carnegiehall.org/works/66325","Song (unspecified)"
"http://data.carnegiehall.org/works/14189","Robin"
"http://data.carnegiehall.org/works/25406","Sinfonia Concertante in E-flat Major, K. 364"
"http://data.carnegiehall.org/works/39727","Kentucky Babe"
"http://data.carnegiehall.org/works/70526","Violin Concerto No. 5 in A Minor, Op. 37, ""Gretry"": Selection"
"http://data.carnegiehall.org/works/71505","Suite"
"http://data.carnegiehall.org/works/103686","Pass It On"
"http://data.carnegiehall.org/works/7180","Hungarian Rhapsody No. 19 in D Minor, S. 244, No. 19"
"http://data.carnegiehall.org/works/10091","Hungarian Dance No. 21 in E Minor"
"http://data.carnegiehall.org/works/67855","Two Poems on Sapphic Fragments"
"http://data.carnegiehall.org/works/73207","De Sábado prá Dominguinhos"
"http://data.carnegiehall.org/works/80243","Der Frühling"
"http://data.carnegiehall.org/works/82371","Variation on a Theme by George Gershwin"
"http://data.carnegiehall.org/works/2236","The Mikado: My Object All Sublime"
"http://data.carnegiehall.org/works/24924","Prelude in D Minor"
"http://data.carnegiehall.org/works/30526","Poor Richard"
"http://data.carnegiehall.org/works/36663","Messiah"
"http://data.carnegiehall.org/works/48653","TViana"
"http://data.carnegiehall.org/works/51880","Water Boy"
"http://data.carnegiehall.org/works/113018","Vida Aquam"
"http://data.carnegiehall.org/works/115494","6 Lieder, Op. 12: 5. Tragödie II"
"http://data.carnegiehall.org/works/60788","Hammer"
"http://data.carnegiehall.org/works/71499","Fantasy for Solo Oboe"
"http://data.carnegiehall.org/works/83217","Dances to Life: 1. Wonder"
"http://data.carnegiehall.org/works/85391","Hänsel und Gretel: Prayer and Dream Pantomime"
"http://data.carnegiehall.org/works/85070","Unser Leben ist ein Schatten"
"http://data.carnegiehall.org/works/92780","Blessed Redeemer"
"http://data.carnegiehall.org/works/26052","Alceste: Bannis la crainte"
"http://data.carnegiehall.org/works/40692","1941: March"
"http://data.carnegiehall.org/works/72933","Don't Explain"
"http://data.carnegiehall.org/works/2424","L'oiseau du paradis, Op. 35"
"http://data.carnegiehall.org/works/25769","Il giuramento: Fu soave quel contento"
"http://data.carnegiehall.org/works/46457","Joropo (Venezuela)"
"http://data.carnegiehall.org/works/49576","Smerkalos (Twilight has fallen)"
"http://data.carnegiehall.org/works/61825","Arias from the 18th Century Ballad Operas"
"http://data.carnegiehall.org/works/84541","Husarenritt, Op. 140"
"http://data.carnegiehall.org/works/107241","The Wind of Tsugaru"
"http://data.carnegiehall.org/works/8431","Donna, vorrei morir"
"http://data.carnegiehall.org/works/42164","Chauve-Souris"
"http://data.carnegiehall.org/works/81817","Stand By Me"
"http://data.carnegiehall.org/works/85222","Prélude à l'après-midi d'un faune"
