"event","date","title","workperformed","composer","composerName","skos"
"http://data.carnegiehall.org/events/19704","1938-02-12T11:00:00","New York Philharmonic Young People's Concert","http://data.carnegiehall.org/works/44902","http://data.carnegiehall.org/names/18239","Pyotr Ilyich Tchaikovsky","http://www.wikidata.org/entity/Q7315"
"http://data.carnegiehall.org/events/27893","1935-12-13T20:30:00","New York Philharmonic-Symphony Society Clarinet Ensemble","http://data.carnegiehall.org/works/44902","http://data.carnegiehall.org/names/18239","Pyotr Ilyich Tchaikovsky","http://www.wikidata.org/entity/Q7315"
"http://data.carnegiehall.org/events/27389","1938-03-12T11:00:00","New York Philharmonic Young People's Concert","http://data.carnegiehall.org/works/44902","http://data.carnegiehall.org/names/18239","Pyotr Ilyich Tchaikovsky","http://www.wikidata.org/entity/Q7315"
"http://data.carnegiehall.org/events/71940","1937-01-31T20:45:00","Glory Tschaikowsky, Dancer","http://data.carnegiehall.org/works/8216","http://data.carnegiehall.org/names/1009368","Claude Debussy","http://www.wikidata.org/entity/Q4700"
"http://data.carnegiehall.org/events/40918","1937-01-10T22:00:00","General Motors Symphony Orchestra","http://data.carnegiehall.org/works/8216","http://data.carnegiehall.org/names/1009368","Claude Debussy","http://www.wikidata.org/entity/Q4700"
"http://data.carnegiehall.org/events/25281","1937-05-23T20:00:00","General Motors Symphony Orchestra","http://data.carnegiehall.org/works/8216","http://data.carnegiehall.org/names/1009368","Claude Debussy","http://www.wikidata.org/entity/Q4700"
"http://data.carnegiehall.org/events/28318","1936-05-08T20:30:00","Virgil Fox, Organ","http://data.carnegiehall.org/works/40493","http://data.carnegiehall.org/names/1004863","César Franck","http://www.wikidata.org/entity/Q50187"
"http://data.carnegiehall.org/events/14182","1938-02-16T20:30:00","John Charles Thomas, Baritone","http://data.carnegiehall.org/works/17878","http://data.carnegiehall.org/names/58028","Richard Hageman","http://www.wikidata.org/entity/Q1375195"
"http://data.carnegiehall.org/events/37312","1937-03-15T20:30:00","Alexander Kelberine, Piano","http://data.carnegiehall.org/works/33216","http://data.carnegiehall.org/names/17563","Ottorino Respighi","http://www.wikidata.org/entity/Q243837"
"http://data.carnegiehall.org/events/9468","1937-02-02T20:30:00","Nathan Milstein, Violin","http://data.carnegiehall.org/works/50367","http://data.carnegiehall.org/names/1002219","Giovanni Battista Pergolesi","http://www.wikidata.org/entity/Q185312"
"http://data.carnegiehall.org/events/27245","1939-12-08T20:45:00","Sidney Sukoenig, Piano, and the Perolé String Quartet","http://data.carnegiehall.org/works/7901","http://data.carnegiehall.org/names/10716","Antonín Dvorák","http://www.wikidata.org/entity/Q7298"
"http://data.carnegiehall.org/events/40690","1939-03-03T21:00:00","Busch Quartet (Busch-Perolé Series)","http://data.carnegiehall.org/works/7901","http://data.carnegiehall.org/names/10716","Antonín Dvorák","http://www.wikidata.org/entity/Q7298"
"http://data.carnegiehall.org/events/8562","1936-11-08T22:00:00","General Motors Symphony Orchestra","http://data.carnegiehall.org/works/16916","http://data.carnegiehall.org/names/1000194","Jules Massenet","http://www.wikidata.org/entity/Q194436"
"http://data.carnegiehall.org/events/38996","1937-10-24T20:00:00","General Motors Symphony Orchestra: International Concert","http://data.carnegiehall.org/works/16916","http://data.carnegiehall.org/names/1000194","Jules Massenet","http://www.wikidata.org/entity/Q194436"
"http://data.carnegiehall.org/events/31585","1935-02-06T20:30:00","Sascha Gorodnitzki, Piano","http://data.carnegiehall.org/works/40459","http://data.carnegiehall.org/names/12468","Igor Stravinsky","http://www.wikidata.org/entity/Q7314"
"http://data.carnegiehall.org/events/4281","1935-12-01T20:45:00","Friedrich Schorr, Ruggiero Ricci, and Sascha Gorodnitzki","http://data.carnegiehall.org/works/40459","http://data.carnegiehall.org/names/12468","Igor Stravinsky","http://www.wikidata.org/entity/Q7314"
"http://data.carnegiehall.org/events/32897","1937-04-03T14:30:00","Boston Symphony Orchestra","http://data.carnegiehall.org/works/2644","http://data.carnegiehall.org/names/1003781","Joseph Haydn","http://www.wikidata.org/entity/Q7349"
"http://data.carnegiehall.org/events/34359","1936-12-09T20:45:00","Kirsten Flagstad, Soprano","http://data.carnegiehall.org/works/24110","http://data.carnegiehall.org/names/1000740","Edvard Grieg","http://www.wikidata.org/entity/Q80621"
"http://data.carnegiehall.org/events/20771","1937-12-07T20:45:00","Kirsten Flagstad, Soprano","http://data.carnegiehall.org/works/24110","http://data.carnegiehall.org/names/1000740","Edvard Grieg","http://www.wikidata.org/entity/Q80621"
"http://data.carnegiehall.org/events/21236","1938-01-07T20:30:00","Arthur Rubinstein, Piano","http://data.carnegiehall.org/works/51414","http://data.carnegiehall.org/names/37816","Francis Poulenc","http://www.wikidata.org/entity/Q191408"
"http://data.carnegiehall.org/events/44743","1937-12-12T15:00:00","Augusta Romano","http://data.carnegiehall.org/works/35097","http://data.carnegiehall.org/names/1002249","Franz Schubert","http://www.wikidata.org/entity/Q7312"
"http://data.carnegiehall.org/events/26355","1937-01-12T20:30:00","Lily Pons, Soprano","http://data.carnegiehall.org/works/41525","http://data.carnegiehall.org/names/1004515","George Frideric Handel","http://www.wikidata.org/entity/Q7302"
"http://data.carnegiehall.org/events/22102","1939-02-03T20:30:00","Alec Templeton, Piano","http://data.carnegiehall.org/works/54333","http://data.carnegiehall.org/names/52002","Sergei Rachmaninoff","http://www.wikidata.org/entity/Q131861"
"http://data.carnegiehall.org/events/2120","1938-01-29T11:00:00","New York Philharmonic Young People's Concert","http://data.carnegiehall.org/works/27059","http://data.carnegiehall.org/names/1000865","Ambroise Thomas","http://www.wikidata.org/entity/Q297717"
"http://data.carnegiehall.org/events/40918","1937-01-10T22:00:00","General Motors Symphony Orchestra","http://data.carnegiehall.org/works/27059","http://data.carnegiehall.org/names/1000865","Ambroise Thomas","http://www.wikidata.org/entity/Q297717"
"http://data.carnegiehall.org/events/14428","1939-01-06T20:30:00","Marian Anderson, Contralto","http://data.carnegiehall.org/works/32657","http://data.carnegiehall.org/names/1004316","Johannes Brahms","http://www.wikidata.org/entity/Q7294"
"http://data.carnegiehall.org/events/6642","1936-02-29T15:00:00","Toscha Seidel, Violin","http://data.carnegiehall.org/works/68906","http://data.carnegiehall.org/names/52002","Sergei Rachmaninoff","http://www.wikidata.org/entity/Q131861"
"http://data.carnegiehall.org/events/14428","1939-01-06T20:30:00","Marian Anderson, Contralto","http://data.carnegiehall.org/works/14479","http://data.carnegiehall.org/names/1010825","Charles Tomlinson Griffes","http://www.wikidata.org/entity/Q477571"
"http://data.carnegiehall.org/events/29733","1938-12-16T20:30:00","Schola Cantorum of New York","http://data.carnegiehall.org/works/57780","http://data.carnegiehall.org/names/1000262","Manuel Penella","http://www.wikidata.org/entity/Q3045116"
"http://data.carnegiehall.org/events/9475","1935-03-03T20:30:00","Fyodor Chaliapin, Bass","http://data.carnegiehall.org/works/49124","http://data.carnegiehall.org/names/1003846","Gioachino Rossini","http://www.wikidata.org/entity/Q9726"
"http://data.carnegiehall.org/events/8580","1937-04-24T20:30:00","Jewish Daily Forward 40th Anniversary Concert","http://data.carnegiehall.org/works/49124","http://data.carnegiehall.org/names/1003846","Gioachino Rossini","http://www.wikidata.org/entity/Q9726"
"http://data.carnegiehall.org/events/2668","1938-03-19T20:30:00","Concert by the International Ladies' Garment Workers' Union","http://data.carnegiehall.org/works/49124","http://data.carnegiehall.org/names/1003846","Gioachino Rossini","http://www.wikidata.org/entity/Q9726"
"http://data.carnegiehall.org/events/37424","1938-02-27T20:30:00","Nicola Moscona, Bass","http://data.carnegiehall.org/works/49124","http://data.carnegiehall.org/names/1003846","Gioachino Rossini","http://www.wikidata.org/entity/Q9726"
"http://data.carnegiehall.org/events/12631","1936-03-29T20:30:00","Federal Music Project Concert","http://data.carnegiehall.org/works/8993","http://data.carnegiehall.org/names/1000388","Thomas Vautor","http://www.wikidata.org/entity/Q11951781"
"http://data.carnegiehall.org/events/31860","1936-01-15T20:30:00","Artur Schnabel, Piano","http://data.carnegiehall.org/works/17673","http://data.carnegiehall.org/names/1005833","Ludwig van Beethoven","http://www.wikidata.org/entity/Q255"
"http://data.carnegiehall.org/events/3700","1939-11-24T20:30:00","Aldo Solito de Solis, Piano","http://data.carnegiehall.org/works/2365","http://data.carnegiehall.org/names/1002668","Domenico Scarlatti","http://www.wikidata.org/entity/Q167837"
"http://data.carnegiehall.org/events/13504","1936-10-14T20:45:00","Jascha Heifetz, Violin","http://data.carnegiehall.org/works/52714","http://data.carnegiehall.org/names/16382","Cyril Scott","http://www.wikidata.org/entity/Q367717"
"http://data.carnegiehall.org/events/29733","1938-12-16T20:30:00","Schola Cantorum of New York","http://data.carnegiehall.org/works/8566","http://data.carnegiehall.org/names/1007209","Franz Xaver Gruber","http://www.wikidata.org/entity/Q513185"
"http://data.carnegiehall.org/events/5747","1935-12-17T20:45:00","New York Women's Symphony Orchestra","http://data.carnegiehall.org/works/53535","http://data.carnegiehall.org/names/2828","John Powell","http://www.wikidata.org/entity/Q1701459"
"http://data.carnegiehall.org/events/37481","1936-11-07T14:30:00","Josef and Rosina Lhévinne","http://data.carnegiehall.org/works/47392","http://data.carnegiehall.org/names/1006444","Frederic Chopin","http://www.wikidata.org/entity/Q1268"
"http://data.carnegiehall.org/events/30356","1937-11-07T20:00:00","General Motors Symphony Orchestra: Puccini Night","http://data.carnegiehall.org/works/11501","http://data.carnegiehall.org/names/1004603","Giacomo Puccini","http://www.wikidata.org/entity/Q7311"
"http://data.carnegiehall.org/events/32780","1939-11-08T20:30:00","Yoryis Yakalis, Violin","http://data.carnegiehall.org/works/1631","http://data.carnegiehall.org/names/1006075","Wolfgang Amadeus Mozart","http://www.wikidata.org/entity/Q254"
"http://data.carnegiehall.org/events/33142","1935-02-25T20:30:00","Dusolina Giannini, Soprano","http://data.carnegiehall.org/works/25661","http://data.carnegiehall.org/names/1002249","Franz Schubert","http://www.wikidata.org/entity/Q7312"
"http://data.carnegiehall.org/events/1037","1938-11-20T20:45:00","Ethel Waters and the Hall Johnson Choir","http://data.carnegiehall.org/works/23737","http://data.carnegiehall.org/names/1010036","Spiritual","http://www.wikidata.org/entity/Q212024"
"http://data.carnegiehall.org/events/427","1939-12-08T14:30:00","New York Philharmonic","http://data.carnegiehall.org/works/45698","http://data.carnegiehall.org/names/17563","Ottorino Respighi","http://www.wikidata.org/entity/Q243837"
"http://data.carnegiehall.org/events/36697","1938-11-24T20:45:00","New York Philharmonic","http://data.carnegiehall.org/works/45698","http://data.carnegiehall.org/names/17563","Ottorino Respighi","http://www.wikidata.org/entity/Q243837"
"http://data.carnegiehall.org/events/25888","1938-11-25T14:30:00","New York Philharmonic","http://data.carnegiehall.org/works/45698","http://data.carnegiehall.org/names/17563","Ottorino Respighi","http://www.wikidata.org/entity/Q243837"
"http://data.carnegiehall.org/events/25894","1939-12-07T20:45:00","New York Philharmonic","http://data.carnegiehall.org/works/45698","http://data.carnegiehall.org/names/17563","Ottorino Respighi","http://www.wikidata.org/entity/Q243837"
"http://data.carnegiehall.org/events/23819","1938-11-27T15:00:00","New York Philharmonic","http://data.carnegiehall.org/works/45698","http://data.carnegiehall.org/names/17563","Ottorino Respighi","http://www.wikidata.org/entity/Q243837"
"http://data.carnegiehall.org/events/47524","1938-06-15T10:00:00","Graduation: Hunter College","http://data.carnegiehall.org/works/79843","http://data.carnegiehall.org/names/1003781","Joseph Haydn","http://www.wikidata.org/entity/Q7349"
"http://data.carnegiehall.org/events/19962","1936-03-08T20:30:00","New York Schools of Music","http://data.carnegiehall.org/works/22436","http://data.carnegiehall.org/names/52002","Sergei Rachmaninoff","http://www.wikidata.org/entity/Q131861"
"http://data.carnegiehall.org/events/26050","1939-05-11T20:45:00","A Symphonic Concert of Swiss Music","http://data.carnegiehall.org/works/21444","http://data.carnegiehall.org/names/1007491","Conrad Beck","http://www.wikidata.org/entity/Q671783"
"http://data.carnegiehall.org/events/30033","1938-03-13T15:00:00","New York Philharmonic","http://data.carnegiehall.org/works/32813","http://data.carnegiehall.org/names/18239","Pyotr Ilyich Tchaikovsky","http://www.wikidata.org/entity/Q7315"
"http://data.carnegiehall.org/events/40665","1939-06-08T20:00:00","Inaugural Concert of the American Symphony Orchestra","http://data.carnegiehall.org/works/57553","http://data.carnegiehall.org/names/1010036","Spiritual","http://www.wikidata.org/entity/Q212024"
"http://data.carnegiehall.org/events/14940","1938-11-12T15:00:00","Sergei Rachmaninoff, Piano","http://data.carnegiehall.org/works/12555","http://data.carnegiehall.org/names/1006444","Frederic Chopin","http://www.wikidata.org/entity/Q1268"
"http://data.carnegiehall.org/events/20396","1938-03-12T15:00:00","Boston Symphony Orchestra","http://data.carnegiehall.org/works/41440","http://data.carnegiehall.org/names/1003781","Joseph Haydn","http://www.wikidata.org/entity/Q7349"
"http://data.carnegiehall.org/events/4169","1939-03-12T17:30:00","New Friends of Music","http://data.carnegiehall.org/works/41440","http://data.carnegiehall.org/names/1003781","Joseph Haydn","http://www.wikidata.org/entity/Q7349"
"http://data.carnegiehall.org/events/5035","1936-04-02T20:45:00","Boston Symphony Orchestra","http://data.carnegiehall.org/works/41440","http://data.carnegiehall.org/names/1003781","Joseph Haydn","http://www.wikidata.org/entity/Q7349"
"http://data.carnegiehall.org/events/24656","1935-01-26T20:45:00","New York Philharmonic Students' Concert","http://data.carnegiehall.org/works/15639","http://data.carnegiehall.org/names/1002382","Anton Bruckner","http://www.wikidata.org/entity/Q81752"
"http://data.carnegiehall.org/events/30707","1936-03-14T14:30:00","Boston Symphony Orchestra","http://data.carnegiehall.org/works/15639","http://data.carnegiehall.org/names/1002382","Anton Bruckner","http://www.wikidata.org/entity/Q81752"
"http://data.carnegiehall.org/events/28413","1935-01-24T20:45:00","New York Philharmonic","http://data.carnegiehall.org/works/15639","http://data.carnegiehall.org/names/1002382","Anton Bruckner","http://www.wikidata.org/entity/Q81752"
"http://data.carnegiehall.org/events/8545","1935-01-25T14:30:00","New York Philharmonic","http://data.carnegiehall.org/works/15639","http://data.carnegiehall.org/names/1002382","Anton Bruckner","http://www.wikidata.org/entity/Q81752"
"http://data.carnegiehall.org/events/3044","1935-01-27T15:00:00","New York Philharmonic","http://data.carnegiehall.org/works/15639","http://data.carnegiehall.org/names/1002382","Anton Bruckner","http://www.wikidata.org/entity/Q81752"
"http://data.carnegiehall.org/events/33921","1939-11-14T20:45:00","Arthur Rubinstein and Jan Kiepura: Joint Recital for Polish Relief","http://data.carnegiehall.org/works/25720","http://data.carnegiehall.org/names/1005978","Mieczyslaw Karlowicz","http://www.wikidata.org/entity/Q508891"
"http://data.carnegiehall.org/events/18319","1939-01-20T20:30:00","Golden Hill Chorus","http://data.carnegiehall.org/works/33358","http://data.carnegiehall.org/names/1010389","Giovanni Battista Martini","http://www.wikidata.org/entity/Q283651"
"http://data.carnegiehall.org/events/6952","1936-12-27T22:00:00","General Motors Symphony Orchestra","http://data.carnegiehall.org/works/52109","http://data.carnegiehall.org/names/39889","Richard Strauss","http://www.wikidata.org/entity/Q13894"
"http://data.carnegiehall.org/events/6922","1939-04-25T20:45:00","Brico Symphony Orchestra","http://data.carnegiehall.org/works/52109","http://data.carnegiehall.org/names/39889","Richard Strauss","http://www.wikidata.org/entity/Q13894"
"http://data.carnegiehall.org/events/4337","1939-03-20T20:45:00","National Orchestral Association","http://data.carnegiehall.org/works/52109","http://data.carnegiehall.org/names/39889","Richard Strauss","http://www.wikidata.org/entity/Q13894"
"http://data.carnegiehall.org/events/12017","1936-12-08T20:30:00","Efrem Zimbalist, Violin: 25th Anniversary Recital","http://data.carnegiehall.org/works/51855","http://data.carnegiehall.org/names/1008524","Max Bruch","http://www.wikidata.org/entity/Q106434"
"http://data.carnegiehall.org/events/9980","1938-11-09T20:45:00","Jascha Heifetz, Violin","http://data.carnegiehall.org/works/17230","http://data.carnegiehall.org/names/1004814","Cecil Burleigh","http://www.wikidata.org/entity/Q56331562"
"http://data.carnegiehall.org/events/15489","1937-12-06T20:30:00","Yehudi Menuhin, Violin","http://data.carnegiehall.org/works/7347","http://data.carnegiehall.org/names/1004316","Johannes Brahms","http://www.wikidata.org/entity/Q7294"
"http://data.carnegiehall.org/events/36872","1935-02-01T20:45:00","Boston Symphony Orchestra","http://data.carnegiehall.org/works/22524","http://data.carnegiehall.org/names/1007229","Ernst Toch","http://www.wikidata.org/entity/Q213635"
"http://data.carnegiehall.org/events/29630","1936-01-11T11:00:00","New York Philharmonic Young People's Concert","http://data.carnegiehall.org/works/5071","http://data.carnegiehall.org/names/18239","Pyotr Ilyich Tchaikovsky","http://www.wikidata.org/entity/Q7315"
"http://data.carnegiehall.org/events/20771","1937-12-07T20:45:00","Kirsten Flagstad, Soprano","http://data.carnegiehall.org/works/18148","http://data.carnegiehall.org/names/1004316","Johannes Brahms","http://www.wikidata.org/entity/Q7294"
"http://data.carnegiehall.org/events/33142","1935-02-25T20:30:00","Dusolina Giannini, Soprano","http://data.carnegiehall.org/works/18148","http://data.carnegiehall.org/names/1004316","Johannes Brahms","http://www.wikidata.org/entity/Q7294"
