"event","date","title","workperformed","genre","genreLabel","composer","composerName","skos"
"http://data.carnegiehall.org/events/13521","1903-03-14T20:10:00","Maiori-Rapone Dramatic Company","http://data.carnegiehall.org/works/68230","http://data.carnegiehall.org/genres/6","theater","http://data.carnegiehall.org/names/44338","William Paris Chambers","http://www.wikidata.org/entity/Q7945879"
"http://data.carnegiehall.org/events/35700","1911-05-04T15:00:00","Adeline Genée with The Morris Dancers and The Nahan Franko Symphony Orchestra","http://data.carnegiehall.org/works/17881","http://data.carnegiehall.org/genres/32","dance","http://data.carnegiehall.org/names/43592","Felix Weingartner","http://www.wikidata.org/entity/Q316920"
"http://data.carnegiehall.org/events/34609","1924-01-26T20:15:00","Chalif Dancers","http://data.carnegiehall.org/works/80167","http://data.carnegiehall.org/genres/32","dance","http://data.carnegiehall.org/names/8625","Xaver Scharwenka","http://www.wikidata.org/entity/Q703370"
"http://data.carnegiehall.org/events/26796","1922-01-28T20:00:00","The Chalif Dancers","http://data.carnegiehall.org/works/80167","http://data.carnegiehall.org/genres/32","dance","http://data.carnegiehall.org/names/8625","Xaver Scharwenka","http://www.wikidata.org/entity/Q703370"
"http://data.carnegiehall.org/events/12252","1925-01-24T20:00:00","Chalif Dancers","http://data.carnegiehall.org/works/80167","http://data.carnegiehall.org/genres/32","dance","http://data.carnegiehall.org/names/8625","Xaver Scharwenka","http://www.wikidata.org/entity/Q703370"
"http://data.carnegiehall.org/events/23548","1943-10-10T20:30:00","Ernesto Lecuona and his Symphony Orchestra","http://data.carnegiehall.org/works/51957","http://data.carnegiehall.org/genres/35","pop music","http://data.carnegiehall.org/names/56624","Ernestina Lecuona","http://www.wikidata.org/entity/Q10274029"
"http://data.carnegiehall.org/events/23548","1943-10-10T20:30:00","Ernesto Lecuona and his Symphony Orchestra","http://data.carnegiehall.org/works/44714","http://data.carnegiehall.org/genres/35","pop music","http://data.carnegiehall.org/names/56624","Ernestina Lecuona","http://www.wikidata.org/entity/Q10274029"
"http://data.carnegiehall.org/events/24383","1939-10-06T20:30:00","ASCAP American Music Festival","http://data.carnegiehall.org/works/61255","http://data.carnegiehall.org/genres/34","jazz","http://data.carnegiehall.org/names/14509","Alec Templeton","http://www.wikidata.org/entity/Q4714268"
"http://data.carnegiehall.org/events/35190","1947-10-05T20:30:00","National Negro Opera Company's New York Opera Guild Music and Dance Festival","http://data.carnegiehall.org/works/21498","http://data.carnegiehall.org/genres/32","dance","http://data.carnegiehall.org/names/33006","Mary Cardwell Dawson","http://www.wikidata.org/entity/Q3296151"
"http://data.carnegiehall.org/events/10845","1905-03-11T20:30:00","The People's Institute Club ""A""","http://data.carnegiehall.org/works/5098","http://data.carnegiehall.org/genres/6","theater","http://data.carnegiehall.org/names/45578","Luigi Arditi","http://www.wikidata.org/entity/Q918479"
"http://data.carnegiehall.org/events/32411","1948-10-11T20:30:00","Italian Opera Ensemble","http://data.carnegiehall.org/works/4970","http://data.carnegiehall.org/genres/33","opera","http://data.carnegiehall.org/names/45578","Luigi Arditi","http://www.wikidata.org/entity/Q918479"
"http://data.carnegiehall.org/events/8421","1904-02-25T20:00:00","Fete give by L'Alliance Française","http://data.carnegiehall.org/works/22241","http://data.carnegiehall.org/genres/6","theater","http://data.carnegiehall.org/names/45578","Luigi Arditi","http://www.wikidata.org/entity/Q918479"
"http://data.carnegiehall.org/events/35902","1948-04-03T14:15:00","National Negro Opera Company: An Afternoon of Stars","http://data.carnegiehall.org/works/4970","http://data.carnegiehall.org/genres/33","opera","http://data.carnegiehall.org/names/45578","Luigi Arditi","http://www.wikidata.org/entity/Q918479"
"http://data.carnegiehall.org/events/34439","1920-04-17T20:15:00","Vestoff-Serova School of Dancing","http://data.carnegiehall.org/works/18904","http://data.carnegiehall.org/genres/32","dance","http://data.carnegiehall.org/names/45578","Luigi Arditi","http://www.wikidata.org/entity/Q918479"
