,composer,composerLabel
289,http://data.carnegiehall.org/names/1005660,B. Cairo
290,http://data.carnegiehall.org/names/1005662,Waldemar Henrique
291,http://data.carnegiehall.org/names/1005663,Erwin Lendvai
292,http://data.carnegiehall.org/names/1005664,Oleg Felzer
293,http://data.carnegiehall.org/names/1005666,E. Netzer
294,http://data.carnegiehall.org/names/1005668,Ernest Longstaffe
295,http://data.carnegiehall.org/names/1005648,Robert Moran
296,http://data.carnegiehall.org/names/1005649,Henry E. Sachs
297,http://data.carnegiehall.org/names/1005652,[first name unknown] Oslet
298,http://data.carnegiehall.org/names/1005655,Joseph Marx
299,http://data.carnegiehall.org/names/1005656,Vitezslav Novák
300,http://data.carnegiehall.org/names/1005658,Joelle Wallach
301,http://data.carnegiehall.org/names/1005640,Stacey Miller
302,http://data.carnegiehall.org/names/1005641,Mark Nevin
303,http://data.carnegiehall.org/names/1005642,Byun Hoon
304,http://data.carnegiehall.org/names/1005643,Edison Denisov
305,http://data.carnegiehall.org/names/1005645,Hans Rott
306,http://data.carnegiehall.org/names/1005628,[first name unknown] Pirker
307,http://data.carnegiehall.org/names/1005630,Norman Luboff
308,http://data.carnegiehall.org/names/1005631,Eugène Walckiers
309,http://data.carnegiehall.org/names/1005632,James Legg
310,http://data.carnegiehall.org/names/1005634,Robert Wykes
311,http://data.carnegiehall.org/names/1005637,Andrea Gabrieli
312,http://data.carnegiehall.org/names/1005621,Samuel Liddle
313,http://data.carnegiehall.org/names/1005623,Max von Schillings
314,http://data.carnegiehall.org/names/1005624,Hugh Hughes
315,http://data.carnegiehall.org/names/1005625,Johann Christoph Pepusch
316,http://data.carnegiehall.org/names/1005626,Eddy Rogers
317,http://data.carnegiehall.org/names/1005627,Roman Haubenstock-Ramati
318,http://data.carnegiehall.org/names/1005615,Eugène Damaré
319,http://data.carnegiehall.org/names/1005616,Alexander Wheelock Thayer
320,http://data.carnegiehall.org/names/1005617,Heinrich Kaminski
321,http://data.carnegiehall.org/names/1005618,Norbert Moret
322,http://data.carnegiehall.org/names/1005619,Carl L. Sjoberg
323,http://data.carnegiehall.org/names/1005620,Soon-Ae Kim
324,http://data.carnegiehall.org/names/1005607,[first name unknown] Dobrovolski
325,http://data.carnegiehall.org/names/1005608,John Duffy
326,http://data.carnegiehall.org/names/1005611,John Cheetham
327,http://data.carnegiehall.org/names/1005612,Walter Spencer Huffman
328,http://data.carnegiehall.org/names/1005613,Harri Wessman
329,http://data.carnegiehall.org/names/1005614,Donald Dillard
330,http://data.carnegiehall.org/names/1005601,G. Paul Naeger
331,http://data.carnegiehall.org/names/1005603,Gus Arnheim
332,http://data.carnegiehall.org/names/1005604,Tully J. Cathey
333,http://data.carnegiehall.org/names/1005605,David Jaffe
