"work","title","composer","composerLabel"
"http://data.carnegiehall.org/works/21536","Piano Trio","http://data.carnegiehall.org/names/29782","Martin Boykan"
"http://data.carnegiehall.org/works/27059","Mignon: Overture","http://data.carnegiehall.org/names/1000865","Ambroise Thomas"
"http://data.carnegiehall.org/works/62137","Sensommarnatter, Op. 33: 4. Presto agitato","http://data.carnegiehall.org/names/1007215","Wilhelm Stenhammar"
"http://data.carnegiehall.org/works/80182","Drinking Song (Russian)","http://data.carnegiehall.org/names/1002893","Unknown composer of folk songs"
"http://data.carnegiehall.org/works/100652","Seeing Nellie Home","http://data.carnegiehall.org/names/1014296","John Fletcher"
"http://data.carnegiehall.org/works/16855","Violin Concerto","http://data.carnegiehall.org/names/1009270","Ryohei Hirose"
"http://data.carnegiehall.org/works/38435","Valley Forge","http://data.carnegiehall.org/names/1009187","Boris Koutzen"
"http://data.carnegiehall.org/works/40660","Siegfried: Siegfried presses through the flames","http://data.carnegiehall.org/names/1000277","Richard Wagner"
"http://data.carnegiehall.org/works/43168","Chaconne, Op. 32","http://data.carnegiehall.org/names/1009742","Carl Nielsen"
"http://data.carnegiehall.org/works/51930","Sono","http://data.carnegiehall.org/names/4806","Duke Ellington"
"http://data.carnegiehall.org/works/71674","Revelation: Night Vigil","http://data.carnegiehall.org/names/26805","Michael Harrison"
"http://data.carnegiehall.org/works/82479","Tonadas, Vol. 1: Charrada de Salamanca (Peasant dance from Salamanca)","http://data.carnegiehall.org/names/22151","Joaquín Nin-Culmell"
"http://data.carnegiehall.org/works/92037","Cantares","http://data.carnegiehall.org/names/1003918","Roberto Sierra"
"http://data.carnegiehall.org/works/113373","Selection for Guitar (unspecified)","http://data.carnegiehall.org/names/1026928","Agustí Grau"
"http://data.carnegiehall.org/works/2766","Griffelkin: Griffelkin's Song","http://data.carnegiehall.org/names/13009","Lukas Foss"
"http://data.carnegiehall.org/works/21747","String Trio","http://data.carnegiehall.org/names/33334","Christian Wolff"
"http://data.carnegiehall.org/works/49400","Just caws","http://data.carnegiehall.org/names/1010756","P. P. (Philip Paul) Bliss"
"http://data.carnegiehall.org/works/70176","Practice","http://data.carnegiehall.org/names/1013171","Edmund Campion"
"http://data.carnegiehall.org/works/23830","Violin Sonata in D Minor","http://data.carnegiehall.org/names/1005674","Kazimieras Viktoras Banaitis"
"http://data.carnegiehall.org/works/26107","Four Romances: Menestrel', Op. 17, No. 1 (""The Minstrel"")","http://data.carnegiehall.org/names/1001404","Anton Arensky"
"http://data.carnegiehall.org/works/27846","The Tsar's Bride: Ivan Sergeich...vzglyani, von tam, nad golodnoi","http://data.carnegiehall.org/names/1005079","Nikolay Rimsky-Korsakov"
"http://data.carnegiehall.org/works/32448","L’arlésienne Suite No. 1: 3. Adagietto","http://data.carnegiehall.org/names/1002900","Georges Bizet"
"http://data.carnegiehall.org/works/40295","Anew we lift our song","http://data.carnegiehall.org/names/1009492","[first name unknown] Ringhardt"
"http://data.carnegiehall.org/works/50727","Festvorspiel-Prelude, R. 47","http://data.carnegiehall.org/names/1001205","Franz Liszt"
"http://data.carnegiehall.org/works/30125","Music in the Air: I’ve Told Ev’ry Little Star","http://data.carnegiehall.org/names/1007977","Jerome Kern"
"http://data.carnegiehall.org/works/38154","Tonada murciana","http://data.carnegiehall.org/names/1000125","Joaquín Nin"
"http://data.carnegiehall.org/works/82259","Selection","http://data.carnegiehall.org/names/1015829","Dent Mowrey"
"http://data.carnegiehall.org/works/104652","Heart on the Wall, Op. 14","http://data.carnegiehall.org/names/1010265","Robert Owens"
"http://data.carnegiehall.org/works/111952","Amazonia","http://data.carnegiehall.org/names/45742","Laurindo Almeida"
"http://data.carnegiehall.org/works/11241","Send One Your Love","http://data.carnegiehall.org/names/11830","Stevie Wonder"
"http://data.carnegiehall.org/works/75017","Gavotte","http://data.carnegiehall.org/names/30255","Gaston Dethier"
"http://data.carnegiehall.org/works/90003","Folk Song Arrangements, Vol. 2, France: 3. Fileuse","http://data.carnegiehall.org/names/1002893","Unknown composer of folk songs"
"http://data.carnegiehall.org/works/111968","The Entertainer","http://data.carnegiehall.org/names/1008231","Scott Joplin"
"http://data.carnegiehall.org/works/113667","2 Arias (unspecified)","http://data.carnegiehall.org/names/1010617","Claudio Monteverdi"
"http://data.carnegiehall.org/works/26831","Sister Mary had-a but one child","http://data.carnegiehall.org/names/1010036","Unknown composer of spirituals"
"http://data.carnegiehall.org/works/32657","7 Lieder, Op. 48: 1. Der Gang zum Liebchen","http://data.carnegiehall.org/names/1004316","Johannes Brahms"
"http://data.carnegiehall.org/works/43532","Ariettes oubliées: 6. Spleen","http://data.carnegiehall.org/names/1009368","Claude Debussy"
"http://data.carnegiehall.org/works/46599","Theme and Variations ‘The Four Temperaments’: Excerpt","http://data.carnegiehall.org/names/28928","Paul Hindemith"
"http://data.carnegiehall.org/works/57798","Daphnis et Chloé: Lever de jour","http://data.carnegiehall.org/names/719","Maurice Ravel"
"http://data.carnegiehall.org/works/66735","Salome","http://data.carnegiehall.org/names/1012502","William Loraine"
"http://data.carnegiehall.org/works/8080","Rosalind: Time for Love","http://data.carnegiehall.org/names/1002474","Florence Wickham"
"http://data.carnegiehall.org/works/17797","Recitative Oscuro","http://data.carnegiehall.org/names/1006359","Salvatore Sciarrino"
"http://data.carnegiehall.org/works/38046","El flete de mi canto","http://data.carnegiehall.org/names/6448","Horacio Laguna"
"http://data.carnegiehall.org/works/53989","Las locas por amos","http://data.carnegiehall.org/names/1000125","Joaquín Nin"
"http://data.carnegiehall.org/works/69746","Tren X","http://data.carnegiehall.org/names/1000383","Stanislaw Moniuszko"
"http://data.carnegiehall.org/works/90318","Nostalgia","http://data.carnegiehall.org/names/11824","Van Cliburn"
"http://data.carnegiehall.org/works/29417","You for Me","http://data.carnegiehall.org/names/1007400","Neal Hefti"
"http://data.carnegiehall.org/works/43521","Ce moys de may","http://data.carnegiehall.org/names/1002545","Clement Janequin"
"http://data.carnegiehall.org/works/49235","Spectres","http://data.carnegiehall.org/names/1007122","Alexandra Pierce"
"http://data.carnegiehall.org/works/61670","Prelude","http://data.carnegiehall.org/names/22530","Mervyn Warren"
"http://data.carnegiehall.org/works/66588","Suite for Five","http://data.carnegiehall.org/names/5719","Neal S. Harnly"
"http://data.carnegiehall.org/works/63035","Proverb","http://data.carnegiehall.org/names/35173","Steve Reich"
"http://data.carnegiehall.org/works/83128","From the Bay Psalm Book: The Lord to me a Shepherd Is","http://data.carnegiehall.org/names/1000109","Jean Berger"
"http://data.carnegiehall.org/works/100254","The Ascension","http://data.carnegiehall.org/names/1021953","Bernard Naylor"
"http://data.carnegiehall.org/works/7776","Liederkreis, Op. 24: 7. Berg' und Burgen schaun herunter","http://data.carnegiehall.org/names/1000525","Robert Schumann"
"http://data.carnegiehall.org/works/68906","Two Pieces: Hungarian Dance, Op. 6, No. 2","http://data.carnegiehall.org/names/52002","Sergei Rachmaninoff"
"http://data.carnegiehall.org/works/82813","The Last Judgement: Selection","http://data.carnegiehall.org/names/1003975","Toru Takemitsu"
"http://data.carnegiehall.org/works/86919","Taubenvergiften (""Poisoning Pigeons"")","http://data.carnegiehall.org/names/1017039","Georg Kreisler"
"http://data.carnegiehall.org/works/102423","Whitsett Avenue/Sunset Soliloquy","http://data.carnegiehall.org/names/36217","Michael Tilson Thomas"
"http://data.carnegiehall.org/works/7692","Prince Igor","http://data.carnegiehall.org/names/1010316","Alexander Borodin"
"http://data.carnegiehall.org/works/29433","Fingo per mio diletto","http://data.carnegiehall.org/names/1008058","Anonymous"
"http://data.carnegiehall.org/works/83464","Magnificat","http://data.carnegiehall.org/names/1003001","Donald Patriquin"
"http://data.carnegiehall.org/works/8385","Suite provençale, Op. 152b","http://data.carnegiehall.org/names/39600","Darius Milhaud"
"http://data.carnegiehall.org/works/14479","Nacht liegt auf den fremden Wegen","http://data.carnegiehall.org/names/1010825","Charles Tomlinson Griffes"
"http://data.carnegiehall.org/works/29258","Prelude in G Minor","http://data.carnegiehall.org/names/1009462","Nicola Francesco Haym"
"http://data.carnegiehall.org/works/97963","Dancing on Cobbled Street","http://data.carnegiehall.org/names/1019694","Dobrinka Tabakova"
"http://data.carnegiehall.org/works/107724","Piano Quartet in D Minor, Op. 8: 1. Allegro con brio","http://data.carnegiehall.org/names/1008697","Zygmunt Noskowski"
"http://data.carnegiehall.org/works/111871","Cafe Amore","http://data.carnegiehall.org/names/126606","Chet Catallo"
"http://data.carnegiehall.org/works/25347","Tanzcyklus Opfer (Dance Cycle ""Sacrifice"")","http://data.carnegiehall.org/names/1010630","Hanns Hasting"
"http://data.carnegiehall.org/works/68682","Ich lasse dich nicht, du segnest mich denn, BWV 157: 4. Aria and Recitative: Ja, ja, ich halte Jesum feste","http://data.carnegiehall.org/names/1003166","Johann Sebastian Bach"
"http://data.carnegiehall.org/works/73062","Shall We Dance","http://data.carnegiehall.org/names/36293","Robert Helps"
"http://data.carnegiehall.org/works/100410","Early in the Morning","http://data.carnegiehall.org/names/1022016","Gyu Hwan Kim"
"http://data.carnegiehall.org/works/104983","Florentiner March, Op. 214","http://data.carnegiehall.org/names/1000727","Julius Fucík"
"http://data.carnegiehall.org/works/34776","Klavierstück V","http://data.carnegiehall.org/names/1005149","Karlheinz Stockhausen"
"http://data.carnegiehall.org/works/46645","Allemande","http://data.carnegiehall.org/names/1002601","Thomas Simpson"
